,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-12,41.75425338745117,1448.5,,58.816001892089844,43.53499984741211,1448.5,,58.816001892089844,43.75,1452.1199951171875,,60.790000915527344,43.2599983215332,1435.06005859375,,58.736000061035156,43.352500915527344,1439.5,,60.4640007019043,91557200,3135000,,38044000
2018-04-13,41.89570999145508,1430.7900390625,,60.06800079345703,43.682498931884766,1430.7900390625,,60.06800079345703,43.959999084472656,1459.780029296875,,60.790000915527344,43.462501525878906,1424.52001953125,,59.19599914550781,43.69499969482422,1449.1400146484375,,60.720001220703125,100497200,3685300,,36636000
2018-04-16,42.157073974609375,1441.5,,58.242000579833984,43.95500183105469,1441.5,,58.242000579833984,44.04750061035156,1447.0,,59.93199920654297,43.70750045776367,1427.47998046875,,57.801998138427734,43.75749969482422,1445.0,,59.79999923706055,86313600,2808600,,31692500
2018-04-17,42.73731231689453,1503.8299560546875,,57.53799819946289,44.560001373291016,1503.8299560546875,,57.53799819946289,44.73500061035156,1507.18994140625,,58.433998107910156,44.102500915527344,1457.02001953125,,56.50199890136719,44.122501373291016,1462.300048828125,,57.77399826049805,106421600,5114400,,35000000
2018-04-18,42.64140319824219,1527.8399658203125,,58.66999816894531,44.459999084472656,1527.8399658203125,,58.66999816894531,44.70500183105469,1533.800048828125,,60.04800033569336,44.220001220703125,1504.1099853515625,,57.63199996948242,44.45249938964844,1514.6500244140625,,58.215999603271484,83018000,5227500,,32788500
2018-04-19,41.43294906616211,1556.9100341796875,,60.01599884033203,43.20000076293945,1556.9100341796875,,60.01599884033203,43.84749984741211,1568.52001953125,,60.20199966430664,43.165000915527344,1539.06005859375,,57.709999084472656,43.439998626708984,1543.219970703125,,58.215999603271484,139235200,6523700,,30453000
2018-04-20,39.7353515625,1527.489990234375,,58.04800033569336,41.43000030517578,1527.489990234375,,58.04800033569336,42.80500030517578,1561.199951171875,,59.99599838256836,41.35749816894531,1516.0899658203125,,57.95000076293945,42.650001525878906,1561.199951171875,,59.034000396728516,261964400,5541600,,28139500
2018-04-23,39.62025833129883,1517.8599853515625,,56.67399978637695,41.310001373291016,1517.8599853515625,,56.67399978637695,41.72999954223633,1548.0,,58.32400131225586,41.022499084472656,1503.4100341796875,,56.465999603271484,41.70750045776367,1546.68994140625,,58.257999420166016,146062000,4465400,,24467000
2018-04-24,39.06877517700195,1460.0899658203125,,56.69200134277344,40.73500061035156,1460.0899658203125,,56.69200134277344,41.58250045776367,1539.5,,57.417999267578125,40.30500030517578,1448.449951171875,,55.69200134277344,41.41749954223633,1535.800048828125,,57.0,134768000,7494700,,28426500
2018-04-25,39.239013671875,1460.1700439453125,,56.13800048828125,40.912498474121094,1460.1700439453125,,56.13800048828125,41.35499954223633,1469.989990234375,,57.03200149536133,40.602500915527344,1415.02001953125,,55.45000076293945,40.654998779296875,1458.0,,56.70000076293945,113528400,6587300,,20068000
2018-04-26,39.375694274902344,1517.9599609375,,57.09600067138672,41.05500030517578,1517.9599609375,,57.09600067138672,41.432498931884766,1529.4200439453125,,57.15800094604492,40.842498779296875,1478.5,,55.29999923706055,41.029998779296875,1485.010009765625,,55.75,111852000,8801100,,21780000
